id,y1,y2,y3,y4,f1,f2,f3,f4,p1,p2,p3,p4,yogurt_type
1,0,0,0,1,0,0,0,0,0.108,0.081,0.061000001,0.079000004,4
2,0,1,0,0,0,0,0,0,0.108,0.097999997,0.064000003,0.075000003,2
3,0,1,0,0,0,0,0,0,0.108,0.097999997,0.061000001,0.086000003,2
4,0,1,0,0,0,0,0,0,0.108,0.097999997,0.061000001,0.086000003,2
5,0,1,0,0,0,0,0,0,0.125,0.097999997,0.048999999,0.079000004,2
6,0,1,0,0,0,0,0,0,0.108,0.092,0.050000001,0.079000004,2
7,0,1,0,0,0,0,0,0,0.103,0.081,0.048999999,0.079000004,2
8,0,0,0,1,0,0,0,0,0.108,0.086000003,0.054000001,0.079000004,4
9,1,0,0,0,0,0,0,0,0.108,0.097999997,0.050000001,0.079000004,1
10,1,0,0,0,0,0,0,0,0.108,0.097999997,0.050000001,0.079000004,1
11,1,0,0,0,0,0,0,0,0.108,0.097999997,0.050000001,0.079000004,1
12,1,0,0,0,0,0,0,0,0.108,0.097999997,0.050000001,0.079000004,1
13,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.086000003,4
14,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.086000003,4
15,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004,4
16,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004,4
17,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004,4
18,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004,4
19,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004,4
20,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.081,4
21,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004,4
22,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004,4
23,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004,4
24,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.081,4
25,0,0,0,1,0,0,0,0,0.112,0.081,0.050000001,0.079000004,4
26,0,0,0,1,0,0,0,0,0.112,0.081,0.050000001,0.079000004,4
27,0,0,0,1,0,0,0,0,0.112,0.081,0.050000001,0.079000004,4
28,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.081,4
29,0,1,0,0,0,0,0,0,0.11,0.048999999,0.061000001,0.079000004,2
30,0,1,0,0,0,0,0,0,0.103,0.044,0.048999999,0.079000004,2
31,0,1,0,0,0,0,0,0,0.103,0.044,0.048999999,0.079000004,2
32,1,0,0,0,0,0,0,0,0.032000002,0.094999999,0.057999998,0.103,1
33,1,0,0,0,0,0,0,0,0.108,0.094999999,0.057999998,0.103,1
34,1,0,0,0,0,0,0,0,0.108,0.094999999,0.057999998,0.103,1
35,1,0,0,0,0,0,0,0,0.055,0.086000003,0.054000001,0.079000004,1
36,1,0,0,0,0,0,0,0,0.082999997,0.086000003,0.054000001,0.079000004,1
37,1,0,0,0,0,0,0,0,0.082999997,0.086000003,0.054000001,0.079000004,1
38,1,0,0,0,0,0,0,1,0.115,0.086000003,0.056000002,0.063000001,1
39,1,0,0,0,0,0,0,1,0.032000002,0.086000003,0.056000002,0.063000001,1
40,0,0,0,1,0,0,0,1,0.115,0.086000003,0.061000001,0.063000001,4
41,0,1,0,0,0,0,0,0,0.115,0.055,0.061000001,0.064000003,2
42,0,1,0,0,0,0,1,0,0.115,0.063000001,0.061000001,0.079000004,2
43,0,1,0,0,0,0,0,1,0.041999999,0.030999999,0.061000001,0.063000001,2
44,0,0,1,0,0,0,0,0,0.11,0.081,0.066,0.079000004,3
45,0,0,1,0,0,0,0,0,0.11,0.081,0.066,0.079000004,3
46,0,1,0,0,0,0,0,0,0.13500001,0.081,0.066,0.079000004,2
